,property_type,region,area_m2,country,state,city,lat,lon,price_brl,has_city,has_geo,area_missing_flag,geo_resolution,price_per_m2_raw,area_m2_group_median_x,area_m2_imputed,area_imputed_flag,price_per_m2,area_m2_group_median_y,area_m2_group_median
130,apartment,Northeast,120.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,421269.4,1,1,0,2,3510.5783333333334,103.0,120.0,0,3510.5783333333334,103.0,103.0
131,apartment,Northeast,115.0,Brasil,Bahia,Salvador,-12.992462,-38.444553,577295.1,1,1,0,2,5019.957391304348,103.0,115.0,0,5019.957391304348,103.0,103.0
132,apartment,Northeast,80.0,Brasil,Bahia,Salvador,-12.993305,-38.45739,538288.7000000001,1,1,0,2,6728.608750000001,103.0,80.0,0,6728.608750000001,103.0,103.0
133,apartment,Northeast,80.0,Brasil,Bahia,Salvador,-12.974552,-38.496819,464956.60000000003,1,1,0,2,5811.9575,103.0,80.0,0,5811.9575,103.0,103.0
134,apartment,Northeast,70.0,Brasil,Bahia,Salvador,-12.974552,-38.496819,436871.95,1,1,0,2,6241.027857142857,103.0,70.0,0,6241.027857142857,103.0,103.0
135,apartment,Northeast,83.0,Brasil,Bahia,Salvador,,,858141.4,1,0,0,2,10339.053012048193,103.0,83.0,0,10339.053012048193,103.0,103.0
136,apartment,Northeast,143.0,Brasil,Bahia,Salvador,-12.9857,-38.519516,1014167.1000000001,1,1,0,2,7092.077622377623,103.0,143.0,0,7092.077622377623,103.0,103.0
137,house,Northeast,140.0,Brasil,Bahia,Salvador,-12.920561,-38.318233,530487.4,1,1,0,2,3789.1957142857145,170.0,140.0,0,3789.1957142857145,170.0,170.0
138,house,Northeast,197.0,Brasil,Bahia,Alagoinhas,-12.12635,-38.40873,741122.1000000001,1,1,0,2,3762.0411167512693,170.0,197.0,0,3762.0411167512693,170.0,170.0
139,apartment,Northeast,114.0,Brasil,Bahia,Salvador,-12.991933,-38.465279,764525.95,1,1,0,2,6706.3679824561395,103.0,114.0,0,6706.3679824561395,103.0,103.0
140,apartment,Northeast,95.0,Brasil,Bahia,Salvador,-13.007857,-38.498463,507083.55000000005,1,1,0,2,5337.7215789473685,103.0,95.0,0,5337.7215789473685,103.0,103.0
